房間編號,房間名稱,門窗編號,門鎖五金編號,牆面粉刷編號,地面粉刷編號,天花粉刷編號,門淨寬cm,開門方向,備註
101,變電站,SD1-A,HD-01,W-01A,FL-03,CL-02,130,外開,高壓配電區
102,變電站,D-99,HD-99,W-01A,FL-01,CL-02,100,內開,備用變電室 (門號與門寬異常)
103,簡報室,D-02,HD-02,W-03,FL-02,CL-01,90,內開,主簡報室
104,機房,SD2-B,HD-03,W-02,FL-01,CL-01,100,外開,空調機房
105,機房,SD2-B,HD-03,W-02,FL-01,CL-01,90,內開,管道機房 (開門方向違規：應外開)
201,廁所,D-05,HD-04,W-04,FL-04,CL-03,95,外開,無障礙廁所 (迴轉150cm)
202,廁所,D-05,HD-02,W-02,FL-04,CL-03,80,內開,男廁 (牆面粉刷與門寬異常)
203,梯廳,FD1-A,HD-05,W-01,FL-05,CL-01,120,雙向,1F 主梯廳
204,辦公室,D-03,HD-02,W-02,FL-02,CL-01,95,內開,專案開發組
205,儲藏室,D-04,HD-06,W-02,FL-01,CL-02,85,內開,行政備品室
206,進氣機房,D-008,HD-03,W-02,FL-01,CL-02,90,外開,進風設備區
